id	baseeps	supp
abrahamic_covenant__isaac_covenant_reading	0.81	0.78
abrahamic_covenant__ishmael_covenant_reading	0.58	0.62
abrahamic_covenant__land_promise_constraint	0.82	0.78
acceptable_risk_energy__catastrophic_tail_dominant	0.68	0.79
acceptable_risk_energy__expected_value_dominant	0.68	0.79
acceptable_risk_energy__option_value_preserving	0.52	0.48
acceptable_risk_for_energy__catastrophic_tail_dominant	0.68	0.79
acceptable_risk_for_energy__comparative_risk_dominant	0.68	0.72
acceptable_risk_for_energy__expected_value_dominant	0.62	0.58
ai_alignment_commitment__ethics_justice_reading	0.68	0.71
ai_alignment_commitment__integrated_reading	0.62	0.71
ai_alignment_commitment__safety_control_reading	0.68	0.71
ai_alignment_priority__existential_risk_reading	0.68	0.72
ai_alignment_priority__integrated_reading	0.58	0.62
ai_alignment_priority__nearterm_harms_reading	0.68	0.72
ai_dignity_safeguarding__autonomy_rights_reading	0.42	0.31
ai_dignity_safeguarding__imago_dei_reading	0.45	0.62
ai_dignity_safeguarding__posthuman_continuity_reading	0.18	0.12
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.48	0.52
ai_governance_legitimacy__market_libertarian_reading	0.25	0.15
ai_governance_legitimacy__technocratic_optimization_reading	0.35	0.42
ai_human_relationship__incarnational_humanism	0.42	0.38
ai_human_relationship__instrumental_subsidiarity	0.62	0.71
ai_human_relationship__technocratic_optimization	0.81	0.76
ai_risk_governance_priority__bridge_reading	0.52	0.48
ai_risk_governance_priority__existential_risk_reading	0.68	0.71
ai_risk_governance_priority__near_term_harms_reading	0.68	0.71
ai_risk_prioritization__existential_risk_reading	0.68	0.72
ai_risk_prioritization__near_term_harms_reading	0.68	0.72
ai_safety_commitment__dual_priority_reading	0.62	0.58
ai_safety_commitment__existential_risk_reading	0.68	0.72
ai_safety_commitment__near_term_harms_reading	0.68	0.72
all_men_created_equal__originalist_reading	0.81	0.77
all_men_created_equal__textualist_paradox_reading	0.62	0.41
all_men_created_equal__universalist_reading	0.58	0.42
