id	baseeps	supp
abrahamic_covenant__isaac_covenant_reading	0.7	0.8
abrahamic_covenant__ishmael_covenant_reading	0.45	0.3
abrahamic_covenant__land_promise_constraint	0.9	0.95
acceptable_risk_energy__catastrophic_tail_dominant	0.65	0.78
acceptable_risk_energy__expected_value_dominant	0.6	0.7
acceptable_risk_energy__option_value_preserving	0.45	0.6
acceptable_risk_for_energy__catastrophic_tail_dominant	0.65	0.78
acceptable_risk_for_energy__comparative_risk_dominant	0.4	0.3
acceptable_risk_for_energy__expected_value_dominant	0.3	0.2
ai_alignment_commitment__ethics_justice_reading	0.65	0.4
ai_alignment_commitment__integrated_reading	0.65	0.7
ai_alignment_commitment__safety_control_reading	0.85	0.7
ai_alignment_priority__existential_risk_reading	0.85	0.7
ai_alignment_priority__integrated_reading	0.45	0.3
ai_alignment_priority__nearterm_harms_reading	0.65	0.7
ai_dignity_safeguarding__autonomy_rights_reading	0.35	0.2
ai_dignity_safeguarding__imago_dei_reading	0.55	0.4
ai_dignity_safeguarding__posthuman_continuity_reading	0.1	0.05
ai_governance_legitimacy__magisterial_subsidiarity_reading	0.5	0.3
ai_governance_legitimacy__market_libertarian_reading	0.25	0.15
ai_governance_legitimacy__technocratic_optimization_reading	0.35	0.45
ai_human_relationship__incarnational_humanism	0.15	0.05
ai_human_relationship__instrumental_subsidiarity	0.3	0.2
ai_human_relationship__technocratic_optimization	0.85	0.75
ai_risk_governance_priority__bridge_reading	0.45	0.3
ai_risk_governance_priority__existential_risk_reading	0.65	0.4
ai_risk_governance_priority__near_term_harms_reading	0.65	0.7
ai_risk_prioritization__existential_risk_reading	0.6	0.7
ai_risk_prioritization__near_term_harms_reading	0.65	0.7
ai_safety_commitment__dual_priority_reading	0.6	0.4
ai_safety_commitment__existential_risk_reading	0.65	0.4
ai_safety_commitment__near_term_harms_reading	0.65	0.7
all_men_created_equal__originalist_reading	0.85	0.9
all_men_created_equal__textualist_paradox_reading	0.45	0.2
all_men_created_equal__universalist_reading	0.45	0.3
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.05	0.1
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.85	0.15
aneyoshi_stone_commitment__behavioral_competence_reading	0.05	0.1
aneyoshi_stone_commitment__commemorative_husk_reading	0.85	0.1
aneyoshi_stone_directive__behavioral_competence_reading	0.05	0.1
aneyoshi_stone_directive__commemorative_husk_reading	0.65	0.2
animal_moral_status__abolitionist_reading	0.95	0.98
animal_moral_status__property_reading	0.05	0.02
animal_moral_status__welfare_reading	0.35	0.2
animal_status__abolitionist_reading	0.95	0.99
animal_status__property_reading	0.05	0.02
