id	nat	pin_mountain	pin_rope	grid_a	grid_b	persist	neg_control	screen_subset_a	screen_starved
abrahamic_covenant__isaac_covenant_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
abrahamic_covenant__ishmael_covenant_reading	unknown|unknown|rope|unknown	unknown|unknown|unknown|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
abrahamic_covenant__land_promise_constraint	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
acceptable_risk_energy__catastrophic_tail_dominant	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
acceptable_risk_energy__expected_value_dominant	naturalized|snare|rope|snare	naturalized|snare|naturalized|snare	naturalized|snare|rope|snare	False	True	True	True	False	False
acceptable_risk_energy__option_value_preserving	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|unknown|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
acceptable_risk_for_energy__catastrophic_tail_dominant	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
acceptable_risk_for_energy__comparative_risk_dominant	unknown|unknown|rope|unknown	unknown|unknown|unknown|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
acceptable_risk_for_energy__expected_value_dominant	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
ai_alignment_commitment__ethics_justice_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
ai_alignment_commitment__integrated_reading	naturalized|snare|rope|snare	naturalized|snare|naturalized|snare	naturalized|snare|rope|snare	False	True	True	True	False	False
ai_alignment_commitment__safety_control_reading	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
ai_alignment_priority__existential_risk_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
ai_alignment_priority__integrated_reading	unknown|unknown|rope|unknown	unknown|unknown|unknown|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
ai_alignment_priority__nearterm_harms_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
ai_dignity_safeguarding__autonomy_rights_reading	unknown|unknown|rope|unknown	unknown|unknown|unknown|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
ai_dignity_safeguarding__imago_dei_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
ai_dignity_safeguarding__posthuman_continuity_reading	mountain|scaffold|scaffold|mountain	mountain|mountain|mountain|mountain	scaffold|scaffold|scaffold|scaffold	True	True	False	False	True	True
ai_governance_legitimacy__magisterial_subsidiarity_reading	unknown|unknown|rope|unknown	unknown|unknown|naturalized|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
