id	nat	pin_mountain	pin_rope	grid_a	grid_b	persist	neg_control	screen_subset_a	screen_starved
ability_ceiling_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
access_barrier_reading	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
actinide_replenishment_mechanism_flat_control	mountain|scaffold|scaffold|mountain	mountain|mountain|mountain|mountain	scaffold|scaffold|scaffold|scaffold	True	True	False	False	True	True
adjunctification_of_university_teaching_c0	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
animal_status_kernel__property_reading	snare|snare|scaffold|snare	snare|snare|scaffold|snare	snare|snare|scaffold|snare	False	False	True	True	False	False
apoe4_mitochondrial_vulnerability	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
architectural_pattern_validity	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
authoritative_specification_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
basic_law_interpretive_authority__parliamentary_sovereignty_reading	tangled_rope|snare|snare|snare	tangled_rope|snare|snare|snare	tangled_rope|snare|snare|snare	False	False	True	True	False	False
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
behavioral_adoption_friction	scaffold|scaffold|scaffold|unknown	scaffold|scaffold|scaffold|unknown	scaffold|scaffold|scaffold|unknown	False	False	True	True	False	False
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	snare|snare|rope|tangled_rope	snare|snare|naturalized|tangled_rope	snare|snare|rope|tangled_rope	False	True	True	True	False	False
border_control_legitimacy__freedom_of_movement_primary	unknown|snare|rope|snare	unknown|snare|naturalized|snare	unknown|snare|rope|snare	False	True	True	True	False	False
catastrophe_memory_kernel__boundary_maintenance_reading	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
conceptual_framework_reading	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
crypto_permissionless_reading	unknown|unknown|scaffold|unknown	unknown|unknown|scaffold|unknown	unknown|unknown|scaffold|unknown	False	False	True	True	False	False
demographic_resource_allocation	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
demographic_skill_mismatch_c0	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
digital_money_legitimacy_flat_control	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
dispositional_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
distributed_verification	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
divine_legitimacy_substrate__folk_syncretistic_reading	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
doomsday_clock_metric__hybrid_legitimacy_reading	unknown|unknown|rope|unknown	unknown|unknown|unknown|unknown	unknown|unknown|rope|unknown	False	True	True	True	False	False
dueling_disappearance_mechanism__overdetermined_composite_reading	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|rope|snare	False	True	True	True	False	False
empty_shell_tolerance	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
epistemic_collapse	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
equal_protection_kernel__colorblind_reading	tangled_rope|tangled_rope|rope|unknown	tangled_rope|tangled_rope|naturalized|unknown	tangled_rope|tangled_rope|rope|unknown	False	True	True	True	False	False
fictional_construct_reading	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	scaffold|scaffold|scaffold|scaffold	False	False	False	True	False	True
fourteenth_amendment_equal_protection__formal_equality_reading	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
gendered_outcome_asymmetry	snare|snare|rope|snare	snare|snare|naturalized|snare	snare|snare|rope|snare	False	True	True	True	False	False
geopolitical_settlement_competition	tangled_rope|snare|naturalized|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|naturalized|snare	False	False	True	True	False	False
gita_kurukshetra_discourse__gandhian_allegorical_reading	unknown|rope|rope|unknown	unknown|unknown|unknown|unknown	rope|rope|rope|unknown	False	True	True	True	False	False
historical_treaty_substrate__stewardship_reading	unknown|rope|rope|rope	unknown|unknown|unknown|unknown	rope|rope|rope|rope	True	True	False	False	True	True
indexical_realism	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
institutional_barrier_structure	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
institutional_trust_erosion_c0	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	unknown|unknown|unknown|unknown	False	False	False	True	False	True
institutional_validation_reading	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
institutional_verification_collapse	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
interactionist_reading	unknown|scaffold|scaffold|unknown	unknown|scaffold|scaffold|unknown	unknown|scaffold|scaffold|unknown	False	False	True	True	False	False
intervention_target_selection	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
jewish_self_determination__indigenous_return_reading	snare|snare|scaffold|snare	snare|snare|scaffold|snare	snare|snare|scaffold|snare	False	False	True	True	False	False
