id	baseeps	supp
abrahamic_covenant__isaac_covenant_reading	0.58	0.68
abrahamic_covenant__ishmael_covenant_reading	0.52	0.48
abrahamic_covenant__land_promise_constraint	0.68	0.72
academic_citation_metrics_as_career_incentive	0.58	0.62
acceptable_risk_energy__catastrophic_tail_reading	0.68	0.72
acceptable_risk_energy__comparative_harm_reading	0.58	0.65
acceptable_risk_energy__expected_value_reading	0.38	0.48
acceptable_risk_for_energy__catastrophic_tail_reading	0.58	0.62
acceptable_risk_for_energy__expected_value_reading	0.58	0.68
acceptable_risk_for_energy__precautionary_reading	0.52	0.58
ai_alignment_commitment__ethics_justice_reading	0.58	0.68
ai_alignment_commitment__integrated_reading	0.52	0.48
ai_alignment_commitment__safety_control_reading	0.58	0.67
ai_alignment_priority__existential_risk_reading	0.58	0.72
ai_alignment_priority__integrated_reading	0.52	0.65
ai_alignment_priority__nearterm_harms_reading	0.58	0.62
ai_jailbreak_vulnerability	0.58	0.68
ai_risk_governance_priority__bridge_reading	0.42	0.58
ai_risk_governance_priority__existential_risk_reading	0.58	0.62
ai_risk_governance_priority__near_term_harms_reading	0.58	0.65
ai_risk_prioritization__existential_risk_reading	0.58	0.62
ai_risk_prioritization__near_term_harms_reading	0.58	0.65
ai_safety_commitment__dual_priority_reading	0.52	0.58
ai_safety_commitment__existential_risk_reading	0.62	0.58
ai_safety_commitment__near_term_harms_reading	0.52	0.65
ai_safety_verification	0.58	0.68
algorithmic_accountability_regime	0.58	0.65
algorithmic_filter_bubbles	0.58	0.68
alignment_divergence_accumulation	0.58	0.65
all_men_created_equal__originalist_reading	0.62	0.68
all_men_created_equal__textualist_paradox_reading	0.58	0.62
all_men_created_equal__universalist_reading	0.52	0.48
alternative_governance_emergence	0.52	0.58
amun_priesthood_authority_substrate	0.58	0.65
aneyoshi_land_use_prohibition__behavioral_competence_reading	0.05	0.02
aneyoshi_land_use_prohibition__commemorative_husk_reading	0.68	0.52
animal_moral_status__abolitionist_reading	0.78	0.82
animal_moral_status__property_reading	0.08	0.02
animal_moral_status__welfare_reading	0.38	0.48
animal_status__abolitionist_reading	0.92	0.78
animal_status__property_reading	0.05	0.08
animal_status__welfare_reading	0.45	0.58
animal_status_kernel__property_reading	0.82	0.68
animal_status_kernel__welfare_reading	0.48	0.52
anonymity_commons_degradation	0.58	0.68
anthropological_record__creationist_reading	0.58	0.72
anthropological_record__indigenous_epistemology_reading	0.48	0.62
anthropological_record__naturalist_reading	0.58	0.65
arctic_resource_competition	0.58	0.62
article17_erasure_right__censorship_mechanism_reading	0.58	0.68
article17_erasure_right__competitive_moat_reading	0.58	0.62
article17_erasure_right__privacy_fundamental_reading	0.38	0.48
article_17_complementarity__international_oversight_reading	0.58	0.62
article_17_complementarity__national_primacy_reading	0.52	0.58
article_17_complementarity__procedural_gatekeeping_mechanism	0.58	0.62
article_27_veto_power__coordination_reading	0.12	0.08
article_27_veto_power__oligopoly_reading	0.68	0.72
article_27_veto_power__sovereignty_reading	0.08	0.02
article_2_7_chapter_vii_tension__p5_veto_gatekeeper	0.62	0.68
article_2_7_chapter_vii_tension__r2p_reading	0.58	0.48
article_2_7_chapter_vii_tension__sovereignty_first_reading	0.68	0.72
article_51_self_defense__expansive_preventive_reading	0.68	0.72
article_51_self_defense__narrow_armed_attack_reading	0.38	0.52
article_51_self_defense__unable_unwilling_doctrine_reading	0.52	0.62
article_9_war_renunciation__collective_self_defense_reading	0.54	0.62
article_9_war_renunciation__inherent_right_reading	0.48	0.62
article_9_war_renunciation__strict_pacifist_reading	0.58	0.72
audit_trail_discovery_surface	0.48	0.52
average_is_over_2026	0.58	0.68
award_system_voter_diversity	0.52	0.58
axiom_of_choice_consequence	0.12	0.03
balfour_mandate_instruments__dual_obligation_indigenous_rights	0.48	0.62
balfour_mandate_instruments__jewish_national_home_primacy	0.62	0.68
balfour_mandate_instruments__mandatory_interpretive_discretion	0.58	0.72
basic_law_interpretive_authority__judicial_supremacy_reading	0.48	0.62
basic_law_interpretive_authority__parliamentary_sovereignty_reading	0.52	0.48
basic_law_interpretive_authority__popular_constitutionalism_reading	0.58	0.52
basic_law_interpretive_boundary__balanced_contestation_reading	0.38	0.48
basic_law_interpretive_boundary__judicial_supremacy_reading	0.58	0.62
basic_law_interpretive_boundary__parliamentary_sovereignty_reading	0.08	0.12
beehiiv_platform_model	0.58	0.62
beta_designation_doctrine__expansive_shield_reading	0.68	0.72
beta_designation_doctrine__narrow_warning_reading	0.38	0.42
beta_designation_doctrine__severity_carve_out_reading	0.35	0.48
biblical_authority__conciliar_reading	0.38	0.48
biblical_authority__sola_scriptura_reading	0.38	0.42
biblical_authority__tradition_scripture_reading	0.58	0.65
biblical_divine_nature__modalist_reading	0.38	0.48
biblical_divine_nature__trinitarian_reading	0.58	0.72
biblical_divine_nature__unitarian_reading	0.38	0.62
biblical_source_text__critical_reconstructive_reading	0.58	0.68
biblical_source_text__dynamic_equivalence_reading	0.38	0.52
biblical_source_text__formal_equivalence_reading	0.62	0.58
big_data_astrophysics_arbitrage	0.58	0.62
bilateral_science_innovation_partnership	0.52	0.58
bitcoin_consensus_kernel__maximalist_reading	0.58	0.72
bitcoin_consensus_kernel__pragmatic_synthesis	0.32	0.38
bitcoin_consensus_kernel__utility_reading	0.38	0.42
bitcoin_whitepaper__digital_gold_reading	0.58	0.62
bitcoin_whitepaper__p2p_cash_reading	0.48	0.62
bitcoin_whitepaper__protocol_ossification_reading	0.58	0.67
bitcoin_whitepaper_purpose__electronic_cash_reading	0.58	0.48
bitcoin_whitepaper_purpose__nakamoto_oracle_opacity	0.58	0.65
bitcoin_whitepaper_purpose__store_of_value_reading	0.52	0.48
bite_configuration_naturalization	0.38	0.48
blockchain_scalability_trilemma	0.52	0.48
blockchain_settlement_finality	0.58	0.62
boom_bust_path_dependency	0.38	0.52
border_control_legitimacy__freedom_of_movement_primary	0.58	0.72
border_control_legitimacy__jurisdictional_sovereignty	0.58	0.65
border_control_legitimacy__sovereignty_primary	0.68	0.72
border_legitimacy__economic_utility_reading	0.58	0.62
border_legitimacy__freedom_of_movement_primary_reading	0.68	0.82
border_legitimacy__freedom_of_movement_reading	0.68	0.75
border_legitimacy__humanitarian_obligation_reading	0.38	0.52
