id	n_obs_defined	has_full_map	chi_min	chi_max	chi_span	starved	subset_a	subset_b	mtype_vec	ftype_vec	immut_vec
abrahamic_covenant__isaac_covenant_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|rope|snare	mountain|rope|rope|mountain
abrahamic_covenant__ishmael_covenant_reading	4	True	0.009029624626067892	0.7123639542788058	0.7033343296527379	False	False	False	tangled_rope|tangled_rope|naturalized|tangled_rope	rope|rope|rope|rope	mountain|rope|rope|mountain
abrahamic_covenant__land_promise_constraint	4	True	-0.009884074697871406	0.9315528632876693	0.9414369379855407	False	False	False	tangled_rope|snare|rope|snare	tangled_rope|snare|rope|snare	mountain|rope|rope|mountain
academic_citation_metrics_as_career_incentive	4	True	0.09186683736905867	0.7945597951571295	0.7026929577880708	False	False	False	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	mountain|rope|rope|mountain
acceptable_risk_energy__catastrophic_tail_reading	4	True	0.2424662882696689	0.9315528632876693	0.6890865750180004	False	False	False	tangled_rope|snare|naturalized|snare	tangled_rope|snare|naturalized|snare	mountain|rope|rope|mountain
acceptable_risk_energy__comparative_harm_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|rope|snare	mountain|rope|rope|mountain
acceptable_risk_energy__expected_value_reading	4	True	-0.005523453507634021	0.5205736588960505	0.5260971124036845	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
acceptable_risk_for_energy__catastrophic_tail_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|rope|snare	mountain|rope|rope|mountain
acceptable_risk_for_energy__expected_value_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|rope|snare	mountain|rope|rope|mountain
acceptable_risk_for_energy__precautionary_reading	4	True	-0.007558410063078134	0.7123639542788058	0.719922364341884	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_alignment_commitment__ethics_justice_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|rope|snare	mountain|rope|rope|mountain
ai_alignment_commitment__integrated_reading	4	True	-0.021971029444433233	0.7123639542788058	0.734334983723239	False	False	False	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	mountain|rope|rope|mountain
ai_alignment_commitment__safety_control_reading	4	True	-0.024506148226483216	0.7945597951571295	0.8190659433836127	False	False	False	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|rope|snare	mountain|rope|rope|mountain
