file	line	raw_text_as_found	quoted_context	namespace	mechanism_slug	confidence
AGENTS.md	680	Pattern 3	**Reading the historical record:** a pre-2026-08-17 `Pattern 3`/`P3`/`BD-P3` means the	taxonomy-candidate	bound-probe	recovered
AGENTS.md	684	P3	but `Pattern N`/`PN` is still seven-way overloaded (the concealment paper's `CWC:P3`,	cwc-claim-row		n/a
ISSUES.md	350	Pattern-3	**Resolution (behavior-preserving):** (1) `metric_delta/5`, `metric_trend/3`, `drift_velocity/3` annotated at their definitions with reduction-kind + faithful-source pointer + the witnessed flip-statu	taxonomy-candidate	destructive-replace	recovered
ISSUES.md	717	P3	(3) (§8 P3-locality) are scope-clarifications — they narrow what the prose claims rather	other-unclassified		n/a
ISSUES.md	852	Pattern 3	**Signature audit (2026-05-30) — 51 triples, UNBOUND query, Pattern 3 verified:**	taxonomy-candidate		unrecoverable
ISSUES.md	859	Pattern 3	Pattern 3 self-check: `behavioral_competence_reading → false_summit_mountain` (not natural_law).	taxonomy-candidate	bound-probe	recovered
ISSUES.md	945	Pattern 3	`false_summit_mountain` under the unbound query. See `docs/technical/build_discipline.md` Pattern 3.	taxonomy-candidate	bound-probe	recovered
ISSUES.md	3521	P3	readings via the unified backend (P3, commit a7d56a14; witnessed: Zionism's 3 readings land with	other-unclassified		n/a
ISSUES.md	3551	P3	**Origin:** 2026-06-06 backend-merge P3. The old `_step_generate_batch` summed batch-result `usage`	taxonomy-candidate		inferred
ISSUES.md	3561	P4	**Origin:** 2026-06-06 backend merge (P4, commit `ed2ec212`): the unified backend wave-partitions kernel manifests, so a supplementary axis `downstream_of` a READING received that reading story's clai	other-unclassified		n/a
ISSUES.md	4434	Pattern-3	rejected as Pattern-3, allowlist forbidden); missing-pending-M 66, every survivor classified, no	taxonomy-candidate		unrecoverable
ISSUES.md	8677	P3	earned fires — OQ-214 null re-confirmed); row 3 explanation over-run **UNSPECIFIABLE** (P3	other-unclassified		n/a
ISSUES.md	10772	P4	**Ω_C** for the taxonomy-mapping semantics ("is Wu-D our P4+P6?"), for the residue	other-unclassified		n/a
ISSUES.md	10816	P4	1. **The Ω_C mapping rulings are UNMADE, deliberately.** *"Is Wu-D our P4+P6?"* and the residue	other-unclassified		n/a
ISSUES.md	10821	P4	2. **The OQ-278 bundle is DISSOLVED.** Its live half (the P4 index collision) never depended on the	other-unclassified		n/a
ISSUES.md	11021	P3	population was enumerated and the design's figure does not survive the count; **P3 has ZERO	other-unclassified		n/a
ISSUES.md	11022	P4	exemplars**, so that row's coverage is P1/P2/P4/P5/P6 only. Control (c) direction (ii) now runs	other-unclassified		n/a
ISSUES.md	11024	P3	taxonomy (bare `P1`/`P2`/`P3` = other directories' own local numbering; the top-ranked pick had	other-unclassified		n/a
ISSUES.md	11421	P4	collided.** The entry stays full-bodied because the live half is the P4 collision.	oq278-subject		n/a
ISSUES.md	11427	P3	`build_discipline.md` continues to publish **BD-P3 (bound-probe bypasses clause-order)** there. The	oq278-subject		n/a
ISSUES.md	11437	P3	operator challenge, not by the discipline. BD-P3 has documented that exact query — same predicate,	oq278-subject		n/a
ISSUES.md	11441	P4	**What this contributes to the P4 ruling (the live half):** it is a data point that	oq278-subject		n/a
ISSUES.md	11445	P4	only the first was asked. **Whatever P4 is ruled, the ruling should state where each displaced	oq278-subject		n/a
ISSUES.md	11447	P3	BD-P3 promoted into `CLAUDE.md` as a **NAMED, explicitly unnumbered** rule, which sidesteps this	oq278-subject		n/a
ISSUES.md	11448	P4	freeze entirely rather than pre-empting it — if P4's ruling later renumbers, a named rule needs no	oq278-subject		n/a
ISSUES.md	11452	P4	**Bundle with OQ-277 DISSOLVED 2026-08-12** at that OQ's close: this entry's live half (the P4	oq278-subject		n/a
ISSUES.md	11481	P3	publishing six patterns with P3 as a defect shape, while the paper published five with index 3	oq278-subject		n/a
ISSUES.md	11490	Pattern 3	nobody stated the consequence.** `build_discipline.md`'s Pattern 3 is *Bound-probe bypasses	oq278-subject		n/a
