leg	constraint_id	source_arm	eac_value	result__arm_defect	result__arm_repaired	engine_result	recon_repaired	T1	T2	T3	T4	agg_check
testsets	ability_ceiling_reading	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.25)),fail(scope_invariance,variant([snare,tangled_rope])),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.25)),fail(scope_invariance,variant([snare,tangled_rope])),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.25))	fail(scope_invariance,variant([snare,tangled_rope]))	pass(no_extraction_data)	fail(natural_law_signature)	match
testsets	access_barrier_reading	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.25)),fail(scope_invariance,variant([snare,tangled_rope])),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.25)),fail(scope_invariance,variant([snare,tangled_rope])),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.25))	fail(scope_invariance,variant([snare,tangled_rope]))	pass(no_extraction_data)	fail(natural_law_signature)	match
testsets	actinide_replenishment_mechanism_contradictions	defect	false	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	fail(factorization,inconclusive(insufficient_classifications))	fail(scope_invariance,no_data)	pass(no_extraction_data)	fail(natural_law_signature)	not_reached
testsets	actinide_replenishment_mechanism_flat_control	defect	true	inconclusive(insufficient_data)	variant([fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(natural_law_signature)])	pass(factorization)	pass(scope_invariance)	pass(no_excess_extraction)	fail(natural_law_signature)	match
testsets	adjacency_reading	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(scope_invariance,variant([rope,unknown])),fail(excess_extraction,0.16000000000000003),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(scope_invariance,variant([rope,unknown])),fail(excess_extraction,0.16000000000000003),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.3))	fail(scope_invariance,variant([rope,unknown]))	fail(excess_extraction,0.16000000000000003)	fail(natural_law_signature)	match
testsets	adjunctification_of_university_teaching_c0	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(excess_extraction,0.63),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(excess_extraction,0.63),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.3))	pass(scope_invariance)	fail(excess_extraction,0.63)	fail(natural_law_signature)	match
testsets	adverse_effect_guarantee_kernel_contradictions	defect	false	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	fail(factorization,inconclusive(insufficient_classifications))	fail(scope_invariance,no_data)	pass(no_extraction_data)	fail(natural_law_signature)	not_reached
testsets	adverse_effect_guarantee_kernel_flat_control	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(excess_extraction,0.42999999999999994),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.3)),fail(excess_extraction,0.42999999999999994),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.3))	pass(scope_invariance)	fail(excess_extraction,0.42999999999999994)	fail(natural_law_signature)	match
testsets	adverse_effect_measurability_contradictions	defect	false	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	inconclusive(insufficient_data)	fail(factorization,inconclusive(insufficient_classifications))	fail(scope_invariance,no_data)	pass(no_extraction_data)	fail(natural_law_signature)	not_reached
testsets	adverse_effect_measurability_flat_control	defect	true	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.33)),fail(excess_extraction,0.5),fail(natural_law_signature)])	inconclusive(insufficient_data)	variant([fail(factorization,non_compliant(1.0,0.33)),fail(excess_extraction,0.5),fail(natural_law_signature)])	fail(factorization,non_compliant(1.0,0.33))	pass(scope_invariance)	fail(excess_extraction,0.5)	fail(natural_law_signature)	match
