constraint_id,context,chi,tvd,fires,h1
26usc469_real_estate_exemption,powerless,0.815164,0.047203,False,3
absorbing_markov_chain_trap,powerless,0.597787,0.390627,True,5
abstraction_boundary_overrun,powerless,0.880377,0.340575,True,3
abstraction_leakage,powerless,0.804295,0.070021,True,3
academic_fashion_modernism_2026,powerless,0.739082,0.170703,False,0
academic_peer_review_gatekeeping,powerless,0.815164,0.069844,True,3
academic_tenure_system,powerless,0.815164,0.021675,False,3
access_arbitrage,powerless,0.489098,0.007253,False,3
acip_hep_b_infant_mandate,powerless,0.195639,0.000000,False,0
ad_fus_coordination,powerless,0.815164,0.049097,False,3
ad_synaptic_deficit,powerless,0.923852,0.013152,False,3
adaptive_lag_trap,powerless,0.902115,0.349129,True,3
adversarial_surface_inflation,powerless,0.912984,0.350786,True,3
adversarial_truth_decay,powerless,0.967328,0.349039,False,0
adverse_possession,powerless,0.706475,0.029171,False,3
advice_as_dangerous_gift,powerless,0.380410,0.037995,False,3
agency_atrophy,powerless,0.956459,0.362561,True,3
agent_opt_2026,powerless,0.760820,0.070899,False,0
agg1_genetic_determinism,powerless,0.815164,0.049097,False,3
aging_longevity_tests,powerless,0.565180,0.004563,False,3
ai_adoption_stigma,powerless,0.565180,0.366891,True,5
ai_auditability_gap,powerless,0.565180,0.450352,True,5
ai_banal_capture,powerless,0.739082,0.031793,False,3
ai_cognitive_diversity_arbitrage,powerless,0.782557,0.000000,False,0
ai_compute_capital_moat,powerless,0.322400,0.678716,True,5
ai_driven_surveillance_sensor_layer,powerless,0.815164,0.019051,False,3
ai_edu_decentralization,powerless,0.543443,0.000877,False,3
ai_evaluators_matching,powerless,0.815164,0.014920,False,3
ai_nonconsensual_content_facilitation,powerless,0.815164,0.022031,False,3
ai_performance_watermark,powerless,0.286000,0.235497,True,6
ai_professional_displacement,powerless,0.771688,0.017328,False,3
ai_religion_regulation,powerless,0.652131,0.413378,True,5
ai_scholar_citation_trap,powerless,0.597787,0.293968,True,3
