# OQ-190 doc_claims.tsv — active-surface documentary dependents (3c)
# a dependent RESTS A CLAIM on stability; a descriptive mention does not
# doc surface: 268 tracked .md files; audits/ NOT swept
file	line	surface	bucket	admitted_by	repair	confidence	claim
CLAUDE.md	1039	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	analysis product is the SHAPE (clusters, shifts, connections — judged by the hypotheses they
CLAUDE.md	1040	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	generate); read the replicate stability table as a σ/seat partition (draw-stable ≈ situation-fixed,
CLAUDE.md	1041	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	draw-unstable ≈ seat-expressive), not a noise filter. Corollary 3 unchanged: pre-committed
ISSUES.md	3265	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	
ISSUES.md	3266	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	**Stability-table dependency (2026-06-12, from OQ-109):** this rebuild's readouts are
ISSUES.md	3267	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	cross-story claims, so the stability-table-gates-claims rule (OQ-109 item 4) applies —
ISSUES.md	3268	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	Stage-2 analysis design consumes cohort zero's replicate-probe stability table (compare
ISSUES.md	3269	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	only draw-stable fields, or size n-per-cohort if the OQ-109 homogeneity falsifier fires).
ISSUES.md	3270	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	Cohort zero (~60 stories) is BELOW Tier 1 power and is OQ-109's, not this OQ's — no
ISSUES.md	3792	doc	cast	named-field-stability-claim	repair-by-annotation	recovered	stakeholder→`rope`, four-tuple→`tangled_rope`, **3/3**, identical to Gemini (engine corrects both
ISSUES.md	3793	doc	cast	named-field-stability-claim	repair-by-annotation	recovered	to snare). The claim-layer framing effect reproduces across model families → the cleanest
KNOWN_STATE.md	5098	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	matching. Operator ruling appended (seat-theorem): a category shift on redraw is the mechanism
KNOWN_STATE.md	5099	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	WORKING; the "identity does not survive" valence WITHDRAWN; the stability table reads as a σ/seat
KNOWN_STATE.md	5100	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	partition (OQ-26). PROMOTED to CLAUDE.md Critical Distinctions (Generation is stochastic block).
KNOWN_STATE.md	5111	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	Pipeline green n=5 (manifest 2026-06-12T17:48:34Z); remaining OQ-109 tail: reading_diff re-point,
KNOWN_STATE.md	5112	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	stability table, σ/seat eval (frozen prediction `5f2a626c`), close-out. Evidence
KNOWN_STATE.md	5113	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	audits/2026-06-12_cohort_zero/.
KNOWN_STATE.md	5114	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	
KNOWN_STATE.md	5115	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	## 2026-06-12 — DETERMINISM-FRONTIER ruling promoted to CLAUDE.md; Phase C removal commit (schema perspectives[]/mandatrophy_resolved OUT, provenance/8 REQUIRED incl. model+sampling); archive-before-r
KNOWN_STATE.md	5116	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	**Files:** CLAUDE.md, schemas/constraint_story_schema.json, python/generate_constraint_pl.py, prolog/narrative_ontology.pl, prolog/guard_exclusions.pl, prolog/signature_detection.pl, prolog/stack.pl, 
KNOWN_STATE.md	5124	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	(prolog/archives/datasets/pre_cohort_zero_2026-06-12/: 62 pl + 60 json, schema-pinned at
KNOWN_STATE.md	5125	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	`046e0a40`); replicate probe folded into cohort zero. Witnesses W1–W5
KNOWN_STATE.md	5126	doc	cast	stability-instrument-as-gating-premise	repair-by-annotation	recovered	(c_removal_commit_witnesses.out) + GATE-0 W1–W3 (c_gate0_exclusion_witnesses.out).
