# OQ-190 resolved_closure_premises.tsv — resolved OQs whose closure rested on a
# cast/verdict stability premise. A closed issue is a standing claim that does not
# announce itself as live. reconciliation: extractor=151 issues_status=151
oq	line	bucket	admitted_by	repair	confidence	title	premise
OQ-45	1367	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Content audit: do any of the 404 NL constraints hide asymmetric winners?	live NL count is 0 and the signature is dead-by-range on HEAD per OQ-113) were re-derived by a pre-`8b5a34b8` overlay probe (aggregate control PASS: exactly 404; member list now on substrate) and screened exhaustively (0
OQ-52	1617	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— False-mountain cross: do the naturalized→snare manifest rows have an authored beneficiar	strict=235+loose=58 of manifest=944; live n=119 leg for contrast: manifest=71, strict=4, loose=4 — vs 16 of 98 on the 2026-06-02 engine; 944 cross-witnessed by OQ-197 acceptance controls, commit `34ff919f`) — engine drif
OQ-63	2199	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Directionality's beneficiary read: agency-dependent or not? (corpus-wide χ stakes — HIGH	Ω_E diagnostic attached. **Status:** resolved — operator ruled 63-A (2026-06-05), sequenced after 64-A: `beneficiary_victim_directionality` consumes `agent_beneficiary` (commit `28f2dfc8`). Witnesses: ZERO-DIFF cutover o
OQ-64	2230	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— constraint_vindicates/2 split: proposition-vindication is overloaded into constraint_ben	**Ω-type:** Ω_C (schema design). **Status:** resolved — operator ruled 64-A (2026-06-05): schema split. `vindicated_propositions` array added to base_properties; compiler emits `narrative_ontology:constraint_vindicates/2
OQ-255	2838	verdict	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Define the seat-cost measure: a function from foreclosure-sets to gate + grade	changes seat selection — grade load-bearing on the engine-kin subset); residual inference CORRECTED same day (audit §8): `coordination_vitality/2` IS authored-empty everywhere, but Q6's genealogical kin is `founding_prob
OQ-83	3588	verdict	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Stakeholder-layer migration: replace the four-tuple authoring surface via the five/six-q	**Phase A landed surface (compressed; witnesses in the audit dir):** schema (7/7 suite); compiler (0/100 additivity; stakeholder/7 + secondary_role/3 + non_agent/2 +
OQ-86	3692	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Surface pairwise who-extracts-from-whom as report commentary (standalone, unblocked)	end-to-end channel witness. Plan correction #2: NOT silent live — fires on 3 live constraints (all tangled_rope, genuine blindspots); census haiku 10/960, flash 34/960, 0 across pre-stakeholder archives (~5,377 — correct
OQ-108	4548	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Per-position witness coverage: the perspectival grid cannot report which positions are e	OQ-107-dependent "full" version is moot now that OQ-107 is `future`; the witness is the authored stakeholder, not a survey wave — dep dropped). `stakeholder_seats:power_witness_count/3` + `power_witness_map/2`; serialize
OQ-114	4722	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Are the 3 bridge-extension stories genuine mountains? (FCR un-fire adjudication + archiv	two-sided control (a non-listed story shown reaching the C arm). - **Rider verdict (so the conjunct is not re-proposed):** option 4's no-beneficiary conjunct was WRONG — unanimous mountains declare beneficiaries too (7/3
OQ-117	4800	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Claim/metric co-authoring at SCOPE manufactures claimed-vs-computed concordance: a valid	mountain on BOTH arms (`ENGINE_ADJUDICATION.md`). Seat-theoretic re-register (operator, `docs/seat-theorem-v1.md`): "0/30 ratified" is NOT "30 false mountains caught" — the engine reads the seat off the STRUCTURE (ε/coup
OQ-134	5720	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Corpus-wide Q6 crosscheck census (cell distribution as report commentary)	corpus growth). plunit `tests/test_commentary_census.pl` 20/20 (sum invariant; distinct absence keys; per-cell positive controls; determinism). Cross-corpus self-labeling: twins reach `q6_unclassified` (haiku=1, flash=5)
OQ-136	5772	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— What the commentary census measures: corpus authoring gaps vs genuine structural categor	**Origin:** 2026-06-16, the totalized commentary census — once the absence buckets stopped collapsing into silence, they became findings about the corpus needing an artifact-vs-genuine discrimination. **Resolution (2026-
OQ-137	5791	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Census the reading layer for the typed-absence convention (does every aggregatable predi	**Origin:** 2026-06-16, generalizing the OQ-121 ad-hoc totalizations (3 predicates by hand) into a systematic reading-layer census + standing check. **Resolution (2026-07-02, commits `a81d4c83`/`2453b922`/`486756fe`/`ed8
OQ-151	6344	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Role-projected ("six-questions") gauge + empty-chair detector — built on the honest prim	- (iii) **Deliverables.** (A) Typed empty-chair detector `stakeholder_seats:empty_chair_state/2` (TOTAL, 8-token partition of the mcc candidate set; dissent-wins multi-chair semantics; `excluded_untyped` fires iff NO cha
OQ-153	6457	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Scaffold↔husk as the paired temporal axis: a husk is a naturalized scaffold that locked 	`docs/design/update_authority_rubric.md`. Naturalization condition tested as band membership at *any* seat, never "the beneficiary seat naturalizes" (OQ-152 handoff). Data point for OQ-228: conditions 3+4 in-stratum rate
OQ-186	7305	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Contamination-network convergence does not distinguish independent constraints from comm	3-clique, distinct-agent topic forms zero edges — the machinery has no node-independence notion; the defect was the corroboration READ. Discriminator `shared/independence.py` (shared ≥1 beneficiary AND ≥1 victim AND |Δε|
OQ-187	7332	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— A directional extraction verdict (RED, extraction-masked-as-rope) may headline a contest	**No per-constraint discriminator exists — all three candidate triggers are dead** (witnessed base rate, live 109-corpus): (1) **honor-the-deferral** — `fcr_deferred_signature_mismatch` gates on `has_metric_perspectival_
OQ-188	7350	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Low-d institutional seats sit just below the f(d) sign-change root, so the OQ-01 rope-ga	agenda_setter 0.12 ↔ beneficiary 0.25 are the straddle pair — named for the FLIP, not root proximity: beneficiary at f=+0.110 is continuously robust). Fire-rate census (manifest 2026-07-05T19:55:12Z, n=130): institutiona
OQ-195	7488	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— General-n H¹ gap spectrum under the OQ-51 variable-real-seat regime (the unwritten induc	**Deps:** splits_from OQ-27 **Resolution (2026-07-02; commits `5d052990` + close commit; evidence `audits/2026-07-02_oq195_general_n_gap/`).** The proof doc delivers: Lemma 1 (H¹ = C(n,2) − Σ C(nᵢ,2) = engine's pair coun
OQ-207	8007	cast	cast-presence-count-as-settled-fact	repair-by-reanalysis	inferred	— Build the stakeholder-frame H¹ (per-seat disagreement spectrum over named stakeholder se	**Ω-type:** Ω_E (mechanical wiring — two existing pieces joined, with census + controls) with an Ω_C tail (report/census surface design: which read sites carry the new measure and how). **Status:** resolved — built + cen
