Second triage pass: 68 entries selected from the remaining ~750 to match the pattern of the 46 kept entries. Selection criteria: victims are recognizable people in ordinary roles, The Tell is observable without domain expertise during normal life, the system is encountered involuntarily, and no year-indexed geopolitical or specialist-domain entries.

Each entry lists the kept entry it most structurally resembles.

| constraint_id | Rationale | Resembles |
| --- | --- | --- |
| **broke_vs_poor_grocery_math** | Every shopping trip requires real-time mental arithmetic to avoid overdraft. Observable, universal for low-income households. | dwp_carers_allowance_cliff |
| **college_admissions_market** | Test prep costs $2,000-5,000, counselors $5,000-15,000, application fees $150-300. Concrete dollar amounts, universal for families with college-age children. | credibility_inflation |
| **network_effects** | Must use the dominant platform to participate despite superior alternatives. Observable daily by anyone on social media or messaging apps. | subscription_economy_model |
| **value_extraction_plateau** | Sellers face 15-30% commission rates, algorithmic demotion for price-setting, mandatory platform payment. Observable for anyone selling on Amazon/Etsy/Uber. | franchisee_corporate_squeeze |
| **hicbc_uk** | One partner's income crosses £60k and Child Benefit claws back entirely. Specific cliff, observable on a tax return. | dwp_carers_allowance_cliff |
| **uk_help_to_buy_scheme** | Equity loan creates apparent access but locks buyer into mortgage dependency. Observable by anyone who used the scheme. | student_loan_default_cliff |
| **compounding_obligation_trap** | Cannot exit without credit destruction, asset seizure, wage garnishment. Same structure as student loans but generalized to all debt. | student_loan_interest_accrual |
| **consumer_debt_slavery** | No exit. Two-word Tell for the highest-extraction debt constraint. | student_loan_default_cliff |
| **quota_ratchet_asymmetry** | Every efficiency gain becomes a permanent baseline, every capacity decline ignored. Observable by any warehouse worker, call center agent, or delivery driver. | golden_handcuffs |
| **bureaucratic_legibility_collapse** | Teachers, nurses, social workers trapped between gaming metrics and actual work. Observable by anyone in public services. | sludge_bureaucratic_friction |
| **procedural_compliance_theater** | Frontline workers bear compliance overhead with no exit. Checklist burden observable in healthcare, education, engineering. | sludge_bureaucratic_friction |
| **iron_law_of_oligarchy** | Organizations that promise democratic voice systematically concentrate power upward. Observable in unions, parties, nonprofits. | peter_principle |
| **goodharts_law** | Students in schools optimizing for test scores rather than learning; patients in systems optimizing throughput. Observable in any measured institution. | peter_principle |
| **mirror_of_erised_expectation** | Internalized the 1990s narrative that hard work + merit = stability. Observable generational trap for millennials. | credibility_inflation |
| **voice_without_exit** | Cannot credibly threaten exit due to economic dependency or geographic constraint. Observable for anyone in a company town, single-employer region, or captive membership. | non_compete_agreements |
| **responsibility_without_power** | Assigned liability for outcomes you cannot control — loan officer blamed for algorithmic failures. Observable in middle management everywhere. | peter_principle |
| **dead_sea_effect** | Organizational environment degrades as talent evaporates. Observable in any large employer with retention problems. | peter_principle |
| **necessary_day_job** | Creative practitioner cannot exit wage labor without sacrificing subsistence. Observable for every working artist, musician, writer. | golden_handcuffs |
| **trade_secret_law** | Worker leaving a firm cannot exit trade secret constraints. Blocks the same mobility as non-competes but through IP law. | non_compete_agreements |
| **labor_union_dues_structure** | Worker with few transferable skills, bound to union shop by need for employment. Mandatory dues solve free-rider problem but enable leadership rent extraction. | automatic_enrollment_defaults |
| **winners_curse** | Bidder cannot exit the auction or adjust estimates once committed. Observable in any house purchase, job negotiation, or eBay bidding war. | subscription_economy_model |
| **liquidity_illusion** | Enters during apparent high liquidity, discovers exit is illusory during market stress. Observable for anyone who tried to sell during a downturn. | golden_handcuffs |
| **ai_evaluators_matching** | Candidates cannot opt out, cannot understand decision criteria, cannot appeal opaque rejections. Observable in any job application process using AI screening. | job_hunt_volume_system_2026 |
