
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	2037
GROUND	abrahamic_covenant__isaac_covenant_reading	[theological,theological]
GROUND	abrahamic_covenant__ishmael_covenant_reading	[deontological,empirically_contingent]
GROUND	abrahamic_covenant__land_promise_constraint	[deontological,deontological,empirically_contingent]
GROUND	acceptable_risk_energy__catastrophic_tail_dominant	[deontological,instrumental]
GROUND	acceptable_risk_energy__expected_value_dominant	[empirically_contingent,instrumental]
GROUND	acceptable_risk_energy__option_value_preserving	[empirically_contingent,instrumental]
GROUND	acceptable_risk_for_energy__catastrophic_tail_dominant	[deontological,deontological]
GROUND	acceptable_risk_for_energy__comparative_risk_dominant	[conventional,empirically_contingent,empirically_contingent]
GROUND	acceptable_risk_for_energy__expected_value_dominant	[empirically_contingent,instrumental]
GROUND	ai_alignment_commitment__ethics_justice_reading	[deontological,deontological]
GROUND	ai_alignment_commitment__integrated_reading	[empirically_contingent,empirically_contingent]
GROUND	ai_alignment_commitment__safety_control_reading	[empirically_contingent,instrumental]
GROUND	ai_alignment_priority__existential_risk_reading	[deontological,instrumental]
GROUND	ai_alignment_priority__integrated_reading	[deontological,instrumental]
GROUND	ai_alignment_priority__nearterm_harms_reading	[deontological,deontological,empirically_contingent]
GROUND	ai_dignity_safeguarding__autonomy_rights_reading	[deontological,deontological]
GROUND	ai_dignity_safeguarding__imago_dei_reading	[deontological,theological]
GROUND	ai_dignity_safeguarding__posthuman_continuity_reading	[deontological,instrumental]
GROUND	ai_governance_legitimacy__magisterial_subsidiarity_reading	[deontological,deontological,instrumental]
GROUND	ai_governance_legitimacy__market_libertarian_reading	[deontological,deontological,empirically_contingent]
GROUND	ai_governance_legitimacy__technocratic_optimization_reading	[empirically_contingent,instrumental]
GROUND	ai_human_relationship__incarnational_humanism	[deontological,deontological,deontological,theological]
GROUND	ai_human_relationship__instrumental_subsidiarity	[empirically_contingent,instrumental]
GROUND	ai_human_relationship__technocratic_optimization	[empirically_contingent,instrumental]
GROUND	ai_risk_governance_priority__bridge_reading	[conventional,instrumental]
GROUND	ai_risk_governance_priority__existential_risk_reading	[empirically_contingent,empirically_contingent]
GROUND	ai_risk_governance_priority__near_term_harms_reading	[deontological,empirically_contingent]
GROUND	ai_risk_prioritization__existential_risk_reading	[deontological,empirically_contingent,empirically_contingent]
GROUND	ai_risk_prioritization__near_term_harms_reading	[conventional,deontological,deontological]
GROUND	ai_safety_commitment__dual_priority_reading	[deontological,instrumental]
GROUND	ai_safety_commitment__existential_risk_reading	[empirically_contingent,instrumental]
GROUND	ai_safety_commitment__near_term_harms_reading	[conventional,empirically_contingent]
GROUND	all_men_created_equal__originalist_reading	[conventional,empirically_contingent]
GROUND	all_men_created_equal__textualist_paradox_reading	[deontological,deontological]
GROUND	all_men_created_equal__universalist_reading	[deontological,deontological]
GROUND	aneyoshi_land_use_prohibition__behavioral_competence_reading	[empirically_contingent,empirically_contingent]
GROUND	aneyoshi_land_use_prohibition__commemorative_husk_reading	[conventional,empirically_contingent]
GROUND	aneyoshi_stone_commitment__behavioral_competence_reading	[empirically_contingent,instrumental]
GROUND	aneyoshi_stone_commitment__commemorative_husk_reading	[empirically_contingent,empirically_contingent]
GROUND	aneyoshi_stone_directive__behavioral_competence_reading	[deontological,empirically_contingent]
GROUND	aneyoshi_stone_directive__commemorative_husk_reading	[deontological,empirically_contingent]
GROUND	animal_moral_status__abolitionist_reading	[deontological,deontological]
GROUND	animal_moral_status__property_reading	[conventional,deontological]
GROUND	animal_moral_status__welfare_reading	[deontological,empirically_contingent]
GROUND	animal_status__abolitionist_reading	[deontological,deontological]
GROUND	animal_status__property_reading	[conventional,deontological]
GROUND	animal_status__welfare_reading	[deontological,empirically_contingent]
GROUND	animal_status_kernel__abolitionist_reading	[deontological,deontological]
GROUND	animal_status_kernel__welfare_reading	[deontological,empirically_contingent]
GROUND	anthropological_record__creationist_reading	[deontological,empirically_contingent]
GROUND	anthropological_record__indigenous_epistemology_reading	[conventional,deontological]
GROUND	anthropological_record__naturalist_reading	[empirically_contingent,empirically_contingent]
GROUND	article17_erasure_right__censorship_mechanism_reading	[conventional,conventional,empirically_contingent]
GROUND	article17_erasure_right__competitive_moat_reading	[empirically_contingent,instrumental]
GROUND	article17_erasure_right__privacy_fundamental_reading	[deontological,empirically_contingent]
GROUND	article_17_complementarity__international_oversight_reading	[deontological,empirically_contingent]
GROUND	article_17_complementarity__national_primacy_reading	[conventional,deontological]
GROUND	article_27_veto_power__coordination_reading	[empirically_contingent,instrumental]
GROUND	article_27_veto_power__oligopoly_reading	[empirically_contingent,empirically_contingent]
GROUND	article_27_veto_power__sovereignty_reading	[deontological,empirically_contingent,instrumental]
GROUND	article_2_7_chapter_vii_tension__r2p_reading	[deontological,empirically_contingent]
GROUND	article_2_7_chapter_vii_tension__sovereignty_first_reading	[conventional,deontological]
GROUND	article_51_self_defense__expansive_preventive_reading	[deontological,empirically_contingent]
GROUND	article_51_self_defense__narrow_armed_attack_reading	[conventional,deontological]
GROUND	article_51_self_defense__unable_unwilling_doctrine_reading	[empirically_contingent,instrumental]
GROUND	article_9_war_renunciation__collective_self_defense_reading	[deontological,instrumental]
