leg	kernel	reading	axiom	proposed_concept	rationale
testsets	digital_money_legitimacy	crypto_permissionless_reading	consensus_suffices_for_legitimacy	digital_money_legitimacy__issuance_legitimacy_basis	Asserts distributed consensus/cryptographic proof suffices to confer monetary legitimacy — a direct answer (consensus pole) to what grounds legitimate issuance.
testsets	digital_money_legitimacy	crypto_permissionless_reading	state_permission_unnecessary	digital_money_legitimacy__issuance_legitimacy_basis	Claims state/regulatory permission is unnecessary for legitimate money — the "regulatory permission or its unnecessity" pole of the issuance-legitimacy question; the file's prose says nothing about transaction visibility/surveillance.
testsets	digital_money_legitimacy	regulated_stablecoin_reading	private_innovation_within_regulatory_perimeter	digital_money_legitimacy__issuance_legitimacy_basis	Claims private issuance is legitimate when inside the regulatory perimeter (file summary: firms may issue "if they... submit to regulatory oversight") — an answer to what confers issuance legitimacy (regulatory permission pole).
testsets	digital_money_legitimacy	regulated_stablecoin_reading	reserve_backing_sufficiency_for_legitimacy	digital_money_legitimacy__issuance_legitimacy_basis	Claims full sovereign reserve backing suffices to legitimize issuance (summary + reserve_backing_sufficiency omega) — the reserve-backing pole of the issuance-legitimacy question; nothing about transaction visibility/surveillance.
testsets	digital_money_legitimacy	sovereign_cbdc_reading	state_monopoly_on_legitimate_issuance	digital_money_legitimacy__issuance_legitimacy_basis	Claims legitimacy of digital money issuance rests on state monopoly (summary: "must be state-issued legal tender under central bank control") — a direct answer to what confers issuance legitimacy.
testsets	digital_money_legitimacy	sovereign_cbdc_reading	transaction_visibility_required_for_policy	digital_money_legitimacy__transaction_visibility	Claims full transaction visibility is required for legitimate CBDC policy operation (summary/commentary tie visibility to policy effectiveness and illicit-finance prevention) — answers the visibility/surveillance slot.
testsets	moral_causation_locus	dispositional_reading	character_cross_situational_stability	moral_causation_locus__causation_locus	Claims stable character persists across situations — the character-stability pole the causation-locus slot explicitly includes.
testsets	moral_causation_locus	dispositional_reading	individual_moral_accountability	moral_causation_locus__accountability_intervention_locus	Attaches moral accountability to the individual (grounds individual moral responsibility per file prose) — an answer to where accountability/intervention properly attaches.
testsets	moral_causation_locus	interactionist_reading	interaction_irreducibility	moral_causation_locus__causation_locus	Asserts person-situation interaction is the irreducible primary causal seat of moral behavior (file summary and FOUNDING_PROBLEM frame it as the answer to the dispositional-vs-situational causation question).
testsets	moral_causation_locus	interactionist_reading	character_context_sensitivity	moral_causation_locus__causation_locus	Claims character is real but context-sensitive — a claim about character stability/instability across situations, which the slot definition names as one of this subject's poles.
testsets	moral_causation_locus	situational_reading	situational_primacy_over_disposition	moral_causation_locus__causation_locus	Asserts external circumstances over stable disposition as the primary causal seat of moral behavior — a direct pole-answer to the causation-locus question.
testsets	moral_causation_locus	situational_reading	character_instability_across_contexts	moral_causation_locus__causation_locus	Claims character is unstable across situations, which the slot definition explicitly names as a pole of the causation-locus subject.
testsets	moral_causation_locus	situational_reading	institutional_design_as_primary_intervention	moral_causation_locus__accountability_intervention_locus	Locates corrective intervention in institutional/situational design rather than the individual — an answer to where accountability/intervention properly attaches (file prose: interventions reshape environments, not character).
testsets	visual_evidentiary_authority	distributed_verification	cryptographic_provenance_as_truth_warrant	visual_evidentiary_authority__truth_warrant_source	Names cryptographic/capture-time provenance as the warrant of trust in an image (replacing expert testimony per the summary), directly answering the truth-warrant-source question.
testsets	visual_evidentiary_authority	distributed_verification	point_of_capture_authentication_necessity	visual_evidentiary_authority__verification_feasibility	Grounded empirically_contingent; per the coordination/founding-problem prose, post-hoc forensic verification cannot keep pace at synthetic-media scale, so verification is feasible only at point of capture — a claim about whether/how authenticity can still be verified at scale.
testsets	visual_evidentiary_authority	epistemic_collapse	verification_impossibility_at_scale	visual_evidentiary_authority__verification_feasibility	Asserts verification of visual claims is structurally impossible within relevant timeframes/scale — a direct (negative-pole) answer to whether image authenticity can still be verified at scale.
