deffile	pi	disposition	machine_disposition	adjudicated	regex_bound	codewalk_sites	codewalk_bound	unification_bound	codewalk_unresolved_reason	bound_sites	regex_sites	witness_owed
abductive_helpers.pl	fpn_band/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
abductive_helpers.pl	seat_overrides/2	converts-clean	converts-clean	no	0	0	0	0				template application; no six-leg run
boltzmann_compliance.pl	expected_power_divergence/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
constraint_indexing.pl	restricted_classify/7	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
context_profile_mining.pl	classify_isomorphism_level/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
covering_analysis.pl	cell_short/2	converts-clean	converts-clean	no	0	3	0	0				template application; no six-leg run
covering_analysis.pl	sigma_label/2	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
cs_kernel_registry.pl	stance_member_provenance/3	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
data_repair.pl	source_class/2	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
diagnostic_summary.pl	compute_verdict/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
diagnostic_summary.pl	mismatch_source/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
dirac_classification.pl	gauge_fixed/3	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
dirac_classification.pl	score_to_separability/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
dirac_classification.pl	type_to_dirac_class/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
domain_priors.pl	category_of/2	converts-clean	converts-clean	no	0	6	0	0				template application; no six-leg run
domain_priors.pl	infer_category_from_priors/2	converts-clean	converts-clean	no	0	0	0	0				template application; no six-leg run
drl_boltzmann_analysis.pl	has_purity_drift/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
drl_boltzmann_analysis.pl	purity_to_cut_priority/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
drl_boltzmann_analysis.pl	qualify_action/5	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
drl_boltzmann_analysis.pl	raw_urgency/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
drl_composition.pl	composition_rule/3	converts-clean	not-latent	yes	5	1	0	0			prolog/dirac_classification.pl:235 atom=piton; prolog/dirac_classification.pl:450 atom=rope; prolog/dirac_classification.pl:451 atom=snare; prolog/dirac_classification.pl:452 atom=mountain; prolog/dirac_classification.pl:454 atom=piton	Regex arm reports 5 bound sites; ALL FIVE ARE PROSE inside block comments (dirac_classification.pl comment spans 224-239 and 429-455, verified by reading the delimiters 2026-08-18). caller_sweep.py's is_comment() skips only lines beginning `%` or `*`, and these begin `behavior:` / `- composition_rule(`. Already adjudicated the same way at audits/2026-08-17_bound_dispatch_hardening/RECON.md:95. The codewalk arm's 0 is the correct reading; the disagreement is a regex FALSE POSITIVE.
drl_core.pl	dr_action/3	converts-clean	converts-clean	no	0	3	0	0				template application; no six-leg run
drl_counterfactual.pl	estimate_impact_indexed/5	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
fpn_report.pl	ep_band/2	converts-clean	converts-clean	no	0	2	0	0				template application; no six-leg run
gap_diagnostic.pl	gate_description/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
giant_component_analysis.pl	action_band/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
giant_component_analysis.pl	would_cross_threshold/5	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
invertibility_analysis.pl	chi_subband/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
invertibility_analysis.pl	predict_rope_snare/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
invertibility_analysis.pl	predict_rope_tangled/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
invertibility_analysis.pl	predict_snare_tangled/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
invertibility_analysis.pl	predict_three_type/4	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
json_report.pl	boltzmann_label/2	regex-only	regex-only	no	0	-	UNRESOLVED	-	file_not_loaded			NOT PRE-REGISTERED — see partition.md §Prereg gap. The codewalk arm returned no verdict for this row, so `converts-clean` (which requires zero under BOTH arms) cannot be assigned. Regex-arm evidence only.
json_report.pl	live_index_label/3	regex-only	regex-only	no	0	-	UNRESOLVED	-	file_not_loaded			NOT PRE-REGISTERED — see partition.md §Prereg gap. The codewalk arm returned no verdict for this row, so `converts-clean` (which requires zero under BOTH arms) cannot be assigned. Regex-arm evidence only.
logical_fingerprint.pl	categorize_coupling/5	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
logical_fingerprint.pl	extraction_zone/2	converts-clean	converts-clean	no	0	1	0	0				template application; no six-leg run
