id	nat	pin_mountain	pin_rope	grid_a	grid_b	persist	neg_control	screen_subset_a	screen_starved
abrahamic_covenant__isaac_covenant_reading	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|rope|snare	False	True	True	True	False	False
abrahamic_covenant__ishmael_covenant_reading	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	False	False	True	True	False	False
abrahamic_covenant__land_promise_constraint	tangled_rope|snare|rope|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|rope|snare	False	True	True	True	False	False
academic_citation_metrics_as_career_incentive	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	False	False	True	True	False	False
acceptable_risk_energy__catastrophic_tail_reading	tangled_rope|snare|naturalized|snare	tangled_rope|snare|naturalized|snare	tangled_rope|snare|naturalized|snare	False	False	True	True	False	False
acceptable_risk_energy__comparative_harm_reading	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|naturalized|snare	tangled_rope|tangled_rope|rope|snare	False	True	True	True	False	False
acceptable_risk_energy__expected_value_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|unknown|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
acceptable_risk_for_energy__catastrophic_tail_reading	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|rope|snare	False	True	True	True	False	False
acceptable_risk_for_energy__expected_value_reading	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|naturalized|snare	tangled_rope|tangled_rope|rope|snare	False	True	True	True	False	False
acceptable_risk_for_energy__precautionary_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
ai_alignment_commitment__ethics_justice_reading	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|naturalized|snare	tangled_rope|tangled_rope|rope|snare	False	True	True	True	False	False
ai_alignment_commitment__integrated_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|naturalized|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
ai_alignment_commitment__safety_control_reading	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|rope|snare	False	True	True	True	False	False
ai_alignment_priority__existential_risk_reading	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	False	False	True	True	False	False
ai_alignment_priority__integrated_reading	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|naturalized|snare	tangled_rope|tangled_rope|rope|snare	False	True	True	True	False	False
ai_alignment_priority__nearterm_harms_reading	tangled_rope|tangled_rope|rope|snare	tangled_rope|tangled_rope|naturalized|snare	tangled_rope|tangled_rope|rope|snare	False	True	True	True	False	False
ai_jailbreak_vulnerability	naturalized|tangled_rope|tangled_rope|snare	naturalized|tangled_rope|tangled_rope|snare	naturalized|tangled_rope|tangled_rope|snare	False	False	True	True	False	False
ai_risk_governance_priority__bridge_reading	tangled_rope|tangled_rope|rope|tangled_rope	tangled_rope|tangled_rope|unknown|tangled_rope	tangled_rope|tangled_rope|rope|tangled_rope	False	True	True	True	False	False
ai_risk_governance_priority__existential_risk_reading	naturalized|tangled_rope|rope|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|rope|snare	False	True	True	True	False	False
ai_risk_governance_priority__near_term_harms_reading	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	naturalized|tangled_rope|naturalized|snare	False	False	True	True	False	False
