# OQ-190 promoted_audit_edges.tsv — forward-citations from the ACTIVE surface into
# audits/. Standing artifact: names the historical records promoted to live, so a
# future shift in OQ-118's finding does not have to re-derive the edge list.
file	line	target	text
AGENTS.md	316	audits/2026-08-17_bound_dispatch_hardening	`audits/2026-08-17_bound_dispatch_hardening/`.
AGENTS.md	404	audits/2026-06-17_mountain_authoring_sweep	corpus authors one claim, not per-seat). Detail: `audits/2026-06-17_mountain_authoring_sweep/ROUTING_SINK_DESIGN.md`.
AGENTS.md	451	audits/2026-07-02_oq138_fnl_evidence	override-liveness. Witness: `audits/2026-07-02_oq138_fnl_evidence/FNL_CONVERSION_DIFF.md`.
AGENTS.md	462	audits/2026-06-21_oq138_fsm_route_conversion	`audits/2026-06-21_oq138_fsm_route_conversion/`.
AGENTS.md	474	audits/2026-06-11_oq90_piton_refinement	`audits/2026-06-11_oq90_piton_refinement/`.
AGENTS.md	502	audits/2026-06-11_oq83_close	`audits/2026-06-11_oq83_close/STEP1_REPORT.md` before comparing their outputs.
AGENTS.md	549	audits/2026-07-17_oq60_purity_absence	`audits/2026-07-17_oq60_purity_absence/`.
AGENTS.md	571	audits/2026-06-11_oq98_verdict_join	`python/shared/schemas.py`. Evidence: `audits/2026-06-11_oq98_verdict_join/`.
AGENTS.md	618	audits/2026-06-22_oq112_round2	marker + the void-alert clause.** Evidence: `audits/2026-06-22_oq112_round2/`.
AGENTS.md	652	audits/2026-06-23_oq15_crossaxis_witnesses	same 8 edges). Provenance: `audits/2026-06-23_oq15_crossaxis_witnesses/`, OQ-15/OQ-135.
AGENTS.md	727	audits/2026-08-14_oq278_index_collision	`audits/2026-08-14_oq278_index_collision/`.
AGENTS.md	754	audits/2026-08-13_oq287_defork	`audits/2026-08-13_oq287_defork/claim_digest.sh <label>`. It is *the* definition of the recipe —
AGENTS.md	764	audits/2026-08-13_oq287_defork	a hazard, not a caveat (`audits/2026-08-13_oq287_defork/EXTRACTION_PROMPT.md` §8 R2).
AGENTS.md	768	audits/2026-08-13_oq287_defork	`audits/2026-08-13_oq287_defork/checks.sh all`.
AGENTS.md	955	audits/2026-07-20_five_leg_twin_comparison	capability (witnessed — OQ-228, GAP-25, `audits/2026-07-20_five_leg_twin_comparison/`). A standalone
