DA abrahamic_covenant__ishmael_covenant_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA animal_status__property_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA article17_erasure_right__privacy_fundamental_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA article_27_veto_power__coordination_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA basic_law_interpretive_boundary__parliamentary_sovereignty_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA bitcoin_consensus_kernel__utility_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA caa_section_111d_delegation__state_compliance_pathway_constraint | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA catastrophe_memory_transmission__operational_competence_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA climate_response_action__degrowth_transformation | axfc=none | terminals=[repudiation] | drift=gap(repudiation_pressure,substantial,false)
DA combatant_status_definition__functional_protection_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA common_law_precedent_corpus__pluralist_balancing | axfc=none | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA copyright_constitutional_mandate__public_scaffold_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA correct_latin__living_drift_reading | axfc=none | terminals=[repudiation] | drift=gap(repudiation_pressure,substantial,true)
DA derivative_work_statutory_boundary__coordination_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA digital_money_origin__consumer_access_reading | axfc=none | terminals=[husk] | drift=gap(authority_erosion,substantial,false)
DA dollar_gold_convertibility__policy_flexible_reading | axfc=none | terminals=[husk] | drift=gap(codification_collapse,substantial,false)
DA ecb_mandate_article_127__climate_incorporation | axfc=ax(climate_risk_integral_to_price_stability,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA ecumenical_boundary_shift | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
DA fair_use_four_factor_test__transformative_use_reading | axfc=ax(cultural_value_of_recontextualization,empirically_contingent) | terminals=[axiom_foreclosure] | drift=gap(axiom_overriding,substantial,false)
DA federation_membership__integration_reading | axfc=none | terminals=[husk] | drift=gap(practice_drift,substantial,false)
