file	line	kind	shape	retract_side	assert_side
audits/2026-06-07_stakeholder_layer_migration/a1_probe.pl	77	overlay	RUNTIME_VARIABLE	[Old]	[New]
audits/2026-06-07_stakeholder_layer_migration/a1_probe.pl	87	overlay	STATIC_TEMPLATE	[ narrative_ontology:constraint_metric(C, ExtName, _) ]	[ narrative_ontology:constraint_metric(C, ExtName, 0.75) ]
audits/2026-06-07_stakeholder_layer_migration/a2_probe.pl	45	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_victim(C, workers_displaced_without_recourse)]	[]
audits/2026-06-07_stakeholder_layer_migration/a2_probe.pl	48	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_victim(C, communities_facing_discriminatory_systems)]	[]
audits/2026-06-07_stakeholder_layer_migration/a2_probe.pl	51	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_victim(C, _)]	[]
audits/2026-06-07_stakeholder_layer_migration/a2_probe.pl	54	asserted	BARE_ASSERT	[]	[constraint_indexing:directionality_override(C, powerful, 0.9)]
audits/2026-06-07_stakeholder_layer_migration/step3_mechanism_probe.pl	53	overlay	STATIC_TEMPLATE	[config:param(stakeholder_role_d_payer, _)]	[config:param(stakeholder_role_d_payer, 0.40)]
audits/2026-06-11_oq109_phase_b/unanimity_adjudication_probe.pl	66	asserted	BARE_ASSERT	[]	[ narrative_ontology:constraint_metric(oq109_seam_nl, EpsName, 0.03), narrative_ontology:constraint_metric(oq109_seam_nl, SuppName, 0.04), narrative_ontology:constraint_metric(oq109_seam_nl, accessibility_collapse, 0.92), narrative_ontology:constraint_metric(oq109_seam_nl, resistance, 0.05), narrative_ontology:constraint_metric(oq109_seam_nl, theater_ratio, 0.05), narrative_ontology:constraint_claim(oq109_seam_nl, mountain), domain_priors:emerges_naturally(oq109_seam_nl) ]
audits/2026-06-11_oq110_residual_join/backed_semantic_probe.pl	20	retracted	COMMENT_FALSE_POSITIVE	caches auto-cleared	[]
audits/2026-06-11_oq110_residual_join/backed_semantic_probe.pl	106	retracted	STATIC_TEMPLATE	[narrative_ontology:measurement(_, C, base_extractiveness, 20, _)]	[]
audits/2026-06-11_oq110_residual_join/pin_counterfactuals.pl	67	overlay	STATIC_TEMPLATE	[narrative_ontology:measurement(_, C, Metric, T2, _)]	[narrative_ontology:measurement(oq110_pin, C, Metric, T2, PinVal)]
audits/2026-06-11_oq90_piton_refinement/phase2_control_battery.pl	66	overlay	STATIC_TEMPLATE	[narrative_ontology:stakeholder_gain_flow(C, _)]	[narrative_ontology:stakeholder_gain_flow(C, fda_regulatory_authority)]
audits/2026-06-11_oq90_piton_refinement/phase2_control_battery.pl	75	overlay	STATIC_TEMPLATE	[narrative_ontology:fixing_cost_class(C, _)]	[narrative_ontology:fixing_cost_class(C, cheap)]
audits/2026-06-11_oq90_piton_refinement/phase2_control_battery.pl	84	retracted	STATIC_TEMPLATE	[narrative_ontology:stakeholder_gain_flow(C, _), narrative_ontology:fixing_cost_class(C, _)]	[]
audits/2026-06-13_oq122_retype_discriminator/fix_witness.pl	50	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_beneficiary(_,_) ]	[]
audits/2026-06-13_oq122_retype_discriminator/probe.pl	51	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_beneficiary(C, _) ]	[]
audits/2026-06-13_oq122_retype_discriminator/probe.pl	58	overlay	STATIC_TEMPLATE	[ narrative_ontology:constraint_claim(C, mountain) ]	[ narrative_ontology:constraint_claim(C, tangled_rope) ]
audits/2026-06-13_oq50_power_scaling_residue/joint_witness.pl	51	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_beneficiary(radiative_levitation_stratification,_), narrative_ontology:constraint_beneficiary(actinide_replenishment_mechanism_flat_control,_) ]	[]
audits/2026-06-13_oq50_power_scaling_residue/joint_witness.pl	82	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_beneficiary(radiative_levitation_stratification,_), narrative_ontology:constraint_beneficiary(actinide_replenishment_mechanism_flat_control,_) ]	[]
audits/2026-06-13_oq50_power_scaling_residue/phase2_probe.pl	78	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_beneficiary(_,_) ]	[]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_r3_presentation_vs_structure.pl	46	overlay	STATIC_TEMPLATE	[narrative_ontology:cs_authority_grounding(U1, _)]	[narrative_ontology:cs_authority_grounding(U1, AV)]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_r3_presentation_vs_structure.pl	52	overlay	STATIC_TEMPLATE	[narrative_ontology:constraint_beneficiary(C1, _)]	[]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_r3_presentation_vs_structure.pl	70	overlay	STATIC_TEMPLATE	[narrative_ontology:constraint_metric(C2, suppression_requirement, _)]	[narrative_ontology:constraint_metric(C2, suppression_requirement, SV)]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_r3_presentation_vs_structure.pl	75	overlay	STATIC_TEMPLATE	[narrative_ontology:cs_authority_grounding(U2, _)]	[narrative_ontology:cs_authority_grounding(U2, self_enforcing)]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_seat_test.pl	46	overlay	STATIC_TEMPLATE	[narrative_ontology:constraint_metric(C, extractiveness, _)]	[narrative_ontology:constraint_metric(C, extractiveness, EV)]
audits/2026-06-16_seat_invariant_vs_prolog/evidence/probe_seat_test.pl	53	overlay	STATIC_TEMPLATE	[narrative_ontology:cs_authority_grounding(UID, _)]	[narrative_ontology:cs_authority_grounding(UID, AV)]
audits/2026-06-20_oq69_ledger_drain/probe_delta_loadbearing.pl	37	overlay	STATIC_TEMPLATE	[config:param(cognitive_displacement, _)]	[config:param(cognitive_displacement, 0.0)]
audits/2026-06-20_oq69_ledger_drain/probe_delta_loadbearing.pl	48	overlay	STATIC_TEMPLATE	[config:param(cognitive_displacement, _)]	[config:param(cognitive_displacement, 0.3)]
audits/2026-06-21_oq35_field_counterfactual/probe_oq35_field_counterfactual.pl	101	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_metric(_, accessibility_collapse, _), narrative_ontology:constraint_metric(_, resistance, _) ]	[]
audits/2026-06-21_oq35_field_counterfactual/probe_oq35_field_counterfactual.pl	108	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_victim(_, _) ]	[]
audits/2026-06-21_oq35_field_counterfactual/probe_oq35_field_counterfactual.pl	114	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_claim(_, mountain) ]	[]
audits/2026-06-21_oq35_field_counterfactual/probe_oq35_field_counterfactual.pl	120	retracted	DECLARED_ZERO	[]	[]
audits/2026-06-22_oq112_round2/probe_item7_wm_token_controls.pl	53	overlay	DECLARED_ZERO	[]	[maxent_classifier:maxent_dist(probe_zero, Ctx1, [mountain-1.0, rope-0.0, tangled_rope-0.0, snare-0.0])]
audits/2026-06-22_oq112_round2/probe_item7_wm_token_controls.pl	62	overlay	DECLARED_ZERO	[]	[maxent_classifier:maxent_dist(probe_nz, Ctx1, [mountain-0.6, scaffold-0.4])]
audits/2026-06-22_oq112_round2/probe_item7_wm_token_controls.pl	77	overlay	DECLARED_ZERO	[]	[maxent_classifier:maxent_dist(probe_err, Ctx1, [mountain-not_a_number])]
audits/2026-06-23_oq06_offcase_fixtures/probe.pl	32	asserted	RUNTIME_VARIABLE	[]	Facts
audits/2026-06-23_oq06_offcase_fixtures/probe.pl	38	asserted	RUNTIME_VARIABLE	[]	Facts
audits/2026-06-23_oq06_offcase_fixtures/search.pl	115	asserted	RUNTIME_VARIABLE	[]	PlantSens
audits/2026-06-23_oq06_offcase_fixtures/search.pl	117	asserted	RUNTIME_VARIABLE	[]	PlantSpec
audits/2026-06-23_oq112_round3/probe_commit1_witness.pl	70	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_metric(C0, TN, _)]	[]
audits/2026-06-23_oq112_round3/probe_round0_control.pl	35	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_metric(C0, TheaterName, _)]	[]
audits/2026-06-23_oq112_round3/probe_round0_control.pl	49	retracted	STATIC_TEMPLATE	[drl_core:base_extractiveness(C0, _), constraint_data:base_extractiveness(C0, _)]	[]
audits/2026-06-23_oq112_round3/probe_round0_pc3.pl	19	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_metric(C0, ExtName, _)]	[]
audits/2026-06-27_oq124_oq149_committer_convention_control/retraction_control.pl	47	retracted	STATIC_TEMPLATE	[narrative_ontology:constraint_claim(C, rope)]	[]
audits/2026-07-11_oq186_oq188_readsite/probe_oq186.pl	40	asserted	RUNTIME_VARIABLE	[]	Facts
audits/2026-07-25_oq67_legacy_chi_retire/step0_controls.pl	15	asserted	BARE_ASSERT	[]	[drl_composition:constraint_data(oq67_ctl_a, [base_extractiveness(0.9), coord_function(false)])]
audits/2026-07-25_oq67_legacy_chi_retire/step0_controls.pl	24	asserted	BARE_ASSERT	[]	[drl_composition:constraint_data(oq67_ctl_b, [base_extractiveness(0.40), coord_function(false)])]
audits/2026-07-25_oq67_legacy_chi_retire/step0_controls.pl	33	asserted	BARE_ASSERT	[]	[ drl_composition:constraint_data(oq67_ctl_a, [base_extractiveness(0.9), coord_function(false)]), drl_composition:agent_index(oq67_a1, context(powerless, x, x, x)), drl_composition:agent_index(oq67_a2, context(institutional, x, x, x)) ]
audits/2026-07-25_oq67_legacy_chi_retire/step1_reachability.pl	22	asserted	BARE_ASSERT	[]	[drl_composition:constraint_data(oq67_ctl_a, [base_extractiveness(0.9), coord_function(false)])]
audits/2026-07-25_oq67_legacy_chi_retire/step1_reachability.pl	28	asserted	BARE_ASSERT	[]	[drl_composition:constraint_data(oq67_ctl_b, [base_extractiveness(0.40), coord_function(false)])]
audits/2026-08-17_oq285_mode3_measurement_arm/control_demotion.pl	49	overlay	STATIC_TEMPLATE	[config:param(false_summit_override_target, _)]	[config:param(false_summit_override_target, unknown)]
prolog/probe_oq190_edge_admission.pl	94	retracted	RUNTIME_VARIABLE	Templates	[]
prolog/probe_oq190_edge_admission.pl	97	retracted	RUNTIME_VARIABLE	CtlT	[]
prolog/probe_oq35_field_counterfactual.pl	101	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_metric(_, accessibility_collapse, _), narrative_ontology:constraint_metric(_, resistance, _) ]	[]
prolog/probe_oq35_field_counterfactual.pl	108	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_victim(_, _) ]	[]
prolog/probe_oq35_field_counterfactual.pl	114	retracted	STATIC_TEMPLATE	[ narrative_ontology:constraint_claim(_, mountain) ]	[]
prolog/probe_oq35_field_counterfactual.pl	120	retracted	DECLARED_ZERO	[]	[]
